,Y,X,Beta,p-value
34074,6976 JT,6841 JT,-0.03435479343527483,0.34266168770540806
34075,6976 JT,6857 JT,-0.01603946105092957,0.6380327548428004
34076,6976 JT,6902 JT,-0.03825256624569288,0.3640606024090216
34077,6976 JT,6952 JT,-0.07515826001753753,0.03285413671778047
34078,6976 JT,6954 JT,-0.03664744572275868,0.3670049740842666
34079,6976 JT,6971 JT,-0.08486591783676187,0.0478912711018473
34080,6976 JT,6976 JT,-0.031443390393704126,0.27156796504116787
34081,6976 JT,6988 JT,0.0822546987023922,0.04255527702645426
34082,6976 JT,7003 JT,-0.06731791585729444,0.05616227121901696
34083,6976 JT,7004 JT,-0.006441822771766178,0.864969559837089
34084,6976 JT,7011 JT,0.01223592567477025,0.759477626019299
34085,6976 JT,7012 JT,-0.05034107986819028,0.16218268629587923
34086,6976 JT,7013 JT,-0.04450923338490036,0.1590810616140886
34087,6976 JT,7186 JT,-0.004651255167788299,0.9440952253648707
34088,6976 JT,7201 JT,-0.04630174526047304,0.3104945760434626
34089,6976 JT,7202 JT,-0.01697226550239549,0.6428345791541048
34090,6976 JT,7203 JT,-0.05310554490488536,0.2705597132492858
34091,6976 JT,7205 JT,-0.03387397166289131,0.3298789534588361
34092,6976 JT,7211 JT,-0.053608900112261375,0.058320047337042207
34093,6976 JT,7261 JT,-0.026196485581855587,0.41256345252937565
34094,6976 JT,7267 JT,-0.07143620609391596,0.11835970910674441
34095,6976 JT,7269 JT,-0.05152763621511769,0.1743453357307824
34096,6976 JT,7270 JT,-0.04627487670827125,0.1957482729377217
34097,6976 JT,7272 JT,0.1251463787963884,0.20392451711647056
34098,6976 JT,7731 JT,-0.019254963594514955,0.650882908830339
34099,6976 JT,7733 JT,-0.07706977864008517,0.0358809411902128
34100,6976 JT,7735 JT,-0.07906326469403457,0.012187846039784277
34101,6976 JT,7751 JT,-0.05971407080355701,0.3211477761344385
34102,6976 JT,7752 JT,-0.08611547694052166,0.03757030652992144
34103,6976 JT,7762 JT,-0.02883301736944401,0.42274162695458894
34104,6976 JT,7911 JT,-0.047622739612498965,0.35790778496618925
34105,6976 JT,7912 JT,-0.07682589226341512,0.11203564415692306
34106,6976 JT,7951 JT,0.010918765824201808,0.7568222266898673
34107,6976 JT,8001 JT,-0.057662414966861426,0.22142061108741584
34108,6976 JT,8002 JT,-0.03090877838733452,0.5256760877152934
34109,6976 JT,8015 JT,-0.03496717934798415,0.38852932677010454
34110,6976 JT,8028 JT,-0.05389377725592023,0.6326838000184135
34111,6976 JT,8031 JT,-0.08064335827144138,0.12380397742502823
34112,6976 JT,8035 JT,-0.025201900486121434,0.47403086313393517
34113,6976 JT,8053 JT,-0.01540319006616477,0.7464506439089547
34114,6976 JT,8058 JT,-0.06620530556406987,0.16109584081406714
34115,6976 JT,8233 JT,-0.05763703872429857,0.17766718783619562
34116,6976 JT,8252 JT,-0.07893601783483892,0.024424473726701017
34117,6976 JT,8253 JT,-0.027824870690258394,0.4497306699043522
34118,6976 JT,8267 JT,-0.07542230957954696,0.1239287951241002
34119,6976 JT,8270 JT,-0.07085880879943203,0.19811627475383384
34120,6976 JT,8303 JT,-0.02580868963539999,0.4328018633585987
34121,6976 JT,8304 JT,-0.02173293565815434,0.6899854044558353
34122,6976 JT,8306 JT,0.011737666822064544,0.7621553069640254
34123,6976 JT,8308 JT,-0.03624917395750167,0.37942897945989895
34124,6976 JT,8309 JT,0.02938090417768514,0.41322092469325034
34125,6976 JT,8316 JT,0.007498334799828672,0.8554050835527249
34126,6976 JT,8331 JT,0.022835122769255624,0.5665977517109417
34127,6976 JT,8332 JT,0.014834594227329226,0.7816198276572355
34128,6976 JT,8354 JT,-0.007588048921072712,0.8387993666450138
34129,6976 JT,8355 JT,0.00048669354312575277,0.9903793171227715
34130,6976 JT,8411 JT,-0.00948580228607014,0.8391420161919925
34131,6976 JT,8601 JT,-0.006676441924009694,0.8627425758916959
34132,6976 JT,8604 JT,-0.004301792061364982,0.9058091667038485
34133,6976 JT,8628 JT,-0.008929312823682901,0.8299475986072828
34134,6976 JT,8630 JT,-0.018858349071552944,0.6097908127107319
34135,6976 JT,8725 JT,-0.015838456676154647,0.6627996113377403
34136,6976 JT,8729 JT,-0.04620338888124663,0.24346952187542745
34137,6976 JT,8750 JT,0.012634050416234709,0.7155396201593932
34138,6976 JT,8766 JT,-0.024500026636945792,0.5415104530616313
34139,6976 JT,8795 JT,-0.011780615529153939,0.7328272551361943
34140,6976 JT,8801 JT,-0.01177261813772077,0.7550399299524613
34141,6976 JT,8802 JT,0.019735382405116263,0.6271965245405323
34142,6976 JT,8803 JT,0.011863313230301204,0.7908831703946418
34143,6976 JT,8804 JT,0.047233528314509686,0.14281909569304424
34144,6976 JT,8815 JT,-0.03085264505128219,0.6849934209626136
34145,6976 JT,8830 JT,0.004315493463472976,0.9042817868383491
34146,6976 JT,9001 JT,-0.020070535208813994,0.7320340846494475
34147,6976 JT,9005 JT,-0.02707454048311145,0.576625699355507
34148,6976 JT,9007 JT,0.023272928421437116,0.6411878842232296
34149,6976 JT,9008 JT,-0.008619272457828503,0.8677698618866407
34150,6976 JT,9009 JT,-0.06800155773687212,0.12395016834045293
34151,6976 JT,9020 JT,0.01919061761445767,0.708771803362263
34152,6976 JT,9021 JT,-0.038967809269796254,0.4418201468340476
34153,6976 JT,9022 JT,0.02099830020991446,0.6497893606903558
34154,6976 JT,9062 JT,-0.049786495244000924,0.26019954928027544
34155,6976 JT,9064 JT,-0.07027252829701558,0.09534758648926878
34156,6976 JT,9101 JT,-0.07279728021346327,0.06074872188446838
34157,6976 JT,9104 JT,-0.07559079100620805,0.03409283550047008
34158,6976 JT,9107 JT,-0.08578965897278736,0.023547666464735537
34159,6976 JT,9202 JT,-0.08308826354966119,0.1273876729582165
34160,6976 JT,9301 JT,0.0069326195551781735,0.8526173835825643
34161,6976 JT,9412 JT,-0.10507083702973159,0.015361461286866362
34162,6976 JT,9432 JT,-0.08992431168433006,0.06725645568897644
34163,6976 JT,9433 JT,0.007491651508273688,0.8600341389858676
34164,6976 JT,9437 JT,-0.07906769383199345,0.1384090165549631
34165,6976 JT,9501 JT,-0.038368397580674514,0.14529969165656112
34166,6976 JT,9502 JT,-0.04092438141498384,0.3477682212092269
34167,6976 JT,9503 JT,-0.034383053946325105,0.29729666930903836
